mjd,candid,fid,pid,diffmaglim,isdiffpos,nid,distnr,magpsf,magpsf_corr,magpsf_corr_ext,magap,magap_corr,sigmapsf,sigmapsf_corr,sigmapsf_corr_ext,sigmagap,sigmagap_corr,ra,dec,rb,rbversion,drb,magapbig,sigmagapbig,rfid,has_stamp,corrected,dubious,candid_alert,step_id_corr,phase,parent_candid
59496.473541699816,"1742473544715015012",2,1742473544715,20.088385,1,1742,2.254406,18.167828,"","",18.1942,"",0.056670092,"","",0.0601,"",128.3965926,19.7416968,0.9257143,"t17_f5_c3",0.9999994,18.2212,0.078,568120247,true,false,false,"","correction_1.0.6",0,""
59500.462754600216,"1746462754715015006",1,1746462754715,20.216627,1,1746,1.8060675,17.531914,"","",17.607,"",0.050206583,"","",0.0311,"",128.3965921,19.7417059,0.9457143,"t17_f5_c3",0.9999995,17.6081,0.0389,568120147,true,false,false,"","correction_1.0.6",0,""
59500.51067129988,"1746510674715015014",2,1746510674715,20.46618,1,1746,2.3174863,17.704515,"","",17.7032,"",0.035449713,"","",0.0336,"",128.3966068,19.7417165,0.94285715,"t17_f5_c3",0.99999976,17.7189,0.0426,568120247,true,false,false,"","correction_1.0.6",0,""
59503.43578700023,"1749435784715015006",2,1749435784715,19.92305,1,1749,2.207745,17.680687,"","",17.6747,"",0.058368042,"","",0.0432,"",128.3965865,19.7416817,0.94,"t17_f5_c3",0.99999905,17.6499,0.0534,568120247,true,false,false,"","correction_1.0.6",0,""
59509.43170139985,"1755431704715015002",1,1755431704715,19.356037,1,1755,1.8265289,17.83282,"","",17.8296,"",0.06971809,"","",0.0838,"",128.3965971,19.7417112,0.9342857,"t17_f5_c3",0.9999995,17.8222,0.1065,568120147,true,false,false,"","correction_1.0.6",0,""
59509.47732640011,"1755477324715015005",2,1755477324715,19.961851,1,1755,2.2853093,17.802116,"","",17.748,"",0.050123826,"","",0.0543,"",128.3966025,19.7417044,0.95714283,"t17_f5_c3",1,17.7816,0.0712,568120247,true,false,false,"","correction_1.0.6",0,""
59518.50633100001,"1764506334715015003",2,1764506334715,20.691847,1,1764,2.2974036,17.870281,"","",17.9374,"",0.048895396,"","",0.0352,"",128.3966028,19.74171,0.94142854,"t17_f5_c3",0.99999404,17.8793,0.0416,568120247,true,false,false,"","correction_1.0.6",0,""
59522.473437500186,"1768473434715015006",2,1768473434715,20.685623,1,1768,2.2693217,17.976906,"","",18.0762,"",0.04378878,"","",0.0402,"",128.3965952,19.7417075,0.9442857,"t17_f5_c3",0.99999994,18.1145,0.0519,568120247,true,false,false,"","correction_1.0.6",0,""
59522.50464119995,"1768504644715015004",1,1768504644715,20.81357,1,1768,1.8691292,18.28559,"","",18.275,"",0.05328087,"","",0.0398,"",128.3966101,19.7417073,0.95285714,"t17_f5_c3",0.99999964,18.2861,0.0502,568120147,true,false,false,"","correction_1.0.6",0,""
59524.46402780013,"1770464024715015004",2,1770464024715,20.717983,1,1770,2.3139002,18.00769,"","",17.9948,"",0.048327528,"","",0.0372,"",128.3966051,19.7417116,0.9357143,"t17_f5_c3",0.9999782,18.0226,0.0476,568120247,true,false,false,"","correction_1.0.6",0,""
59524.52035879996,"1770520354715015010",1,1770520354715,20.913105,1,1770,1.8853676,18.352695,"","",18.3659,"",0.055807464,"","",0.0408,"",128.3966165,19.7417054,0.94714284,"t17_f5_c3",0.99999994,18.3973,0.0522,568120147,true,false,false,"","correction_1.0.6",0,""
59526.49981479999,"1772499814715015006",2,1772499814715,20.487404,1,1772,2.2943456,18.010818,"","",18.0119,"",0.049098082,"","",0.041,"",128.3966013,19.7417113,0.93142855,"t17_f5_c3",0.99999976,18.0074,0.0512,568120247,true,false,false,"","correction_1.0.6",0,""
59529.41689810017,"1775416894715015004",2,1775416894715,20.249474,1,1775,2.3094485,18.064806,"","",18.0201,"",0.052129623,"","",0.0467,"",128.3966057,19.7417126,0.95428574,"t17_f5_c3",0.9999998,18.0932,0.0629,568120247,true,false,false,"","correction_1.0.6",0,""
59529.5083912001,"1775508394715015010",1,1775508394715,20.362192,1,1775,1.7792513,18.502495,"","",18.545,"",0.06023967,"","",0.0559,"",128.3965902,19.7416765,0.8814286,"t17_f5_c3",0.9999908,18.5022,0.0677,568120147,true,false,false,"","correction_1.0.6",0,""
59531.44387729978,"1777443874715015006",2,1777443874715,20.666649,1,1777,2.2980425,18.084606,"","",18.1207,"",0.04977143,"","",0.0426,"",128.396606,19.7417013,0.95,"t17_f5_c3",0.9999999,18.1716,0.0559,568120247,true,false,false,"","correction_1.0.6",0,""
59531.49854170019,"1777498544715015002",1,1777498544715,20.858484,1,1777,1.8483034,18.599901,"","",18.6775,"",0.05343206,"","",0.0556,"",128.396605,19.7417036,0.95,"t17_f5_c3",1,18.7037,0.0714,568120147,true,false,false,"","correction_1.0.6",0,""
59536.43740739999,"1782437404715015001",1,1782437404715,19.115908,1,1782,1.6823667,18.850159,"","",19.1774,"",0.16663864,"","",0.2649,"",128.3965691,19.7415855,0.56,"t17_f5_c3",0.9996979,18.888,0.2605,568120147,true,false,false,"","correction_1.0.6",0,""
59536.48565969989,"1782485654715015003",2,1782485654715,20.038788,1,1782,2.2982428,18.143368,"","",18.1294,"",0.05614879,"","",0.0708,"",128.3965998,19.7417118,0.94714284,"t17_f5_c3",0.999962,18.1694,0.0935,568120247,true,false,false,"","correction_1.0.6",0,""
59538.36126160016,"1784361264715015002",1,1784361264715,18.870396,1,1784,1.8414426,18.735758,"","",19.1518,"",0.19132572,"","",0.4885,"",128.3966116,19.7416616,0.8357143,"t17_f5_c3",0.9998486,19.1886,0.6496,568120147,true,false,false,"","correction_1.0.6",0,""
59550.39093750017,"1796390934715015004",2,1796390934715,20.664478,1,1796,2.3222518,18.227777,"","",18.2604,"",0.049650274,"","",0.0477,"",128.3966071,19.7417201,0.9457143,"t17_f5_c3",0.9999989,18.3052,0.0624,568120247,true,false,false,"","correction_1.0.6",0,""
59550.43469909998,"1796434694715015008",1,1796434694715,20.894806,1,1796,1.934037,18.893406,"","",18.813,"",0.066677004,"","",0.0621,"",128.3966343,19.7416914,0.9557143,"t17_f5_c3",0.9999994,18.9039,0.0847,568120147,true,false,false,"","correction_1.0.6",0,""