mjd,fid,diffmaglim
59466.51222220017,2,19.5871
59466.51461810013,2,19.407
59466.51701389998,2,19.3619
59466.51940969983,2,19.0877
59466.521794000175,2,18.836
59467.51131939981,2,19.7354
59467.51371529978,2,19.6237
59467.51611110009,2,19.4674
59467.51850689994,2,19.0209
59467.52090279991,2,18.8881
59468.51155090006,2,20.0441
59468.51394680003,2,19.8853
59468.516342599876,2,19.7373
59468.51873840019,2,19.749
59468.52113430016,2,19.562
59469.51322920015,2,19.9134
59469.51564810006,2,19.848
59469.518090299796,2,19.8173
59469.52050929982,2,19.3665
59469.52293979982,2,19.2385
59470.51252309978,2,19.9429
59470.51491900021,2,19.8718
59470.51731480006,2,19.7293
59470.51971059991,2,19.4639
59470.52210649988,2,19.2065
59476.50430560019,2,20.0372
59476.5067592999,2,19.9825
59476.50921300007,2,20.1525
59476.511678200215,2,20.1821
59476.51413189992,2,20.1948
59477.50408559991,2,19.3141
59477.506562499795,2,19.3436
59477.50905090012,2,19.3998
59477.51153940009,2,19.325
59477.514027799945,2,19.417
59478.50421300018,2,19.4285
59478.506713000126,2,19.4799
59478.50920139998,2,19.4737
59478.511678200215,2,19.5349
59478.51416670019,2,19.575
59479.50631939992,2,19.7001
59479.508784700185,2,19.787
59479.51124999998,2,19.8359
59479.51371529978,2,19.7288
59479.51619210001,2,19.7768
59480.506840299815,2,19.6843
59480.50930560008,2,19.6705
59480.511782399844,2,19.7987
59480.514247700106,2,19.8435
59480.5167129999,2,19.8371
59484.49216439994,2,19.8494
59484.50393520016,1,19.7101
59503.511932900175,1,20.2632
59511.51010419987,2,19.2192